Dataset,Algorithm,Final Score,Tokens Used,Iterations,Efficiency
PIQA,APE,0.7333333333333333,27192,1,0.026968716289104636
PIQA,Evolution,0.7333333333333333,4543,1,0.16142050040355124
PIQA,Thompson,0.8888456838129096,5005,32,0.17759154521736456
HELLASWAG,APE,0.5333333333333333,31990,1,0.016671876628112953
HELLASWAG,Evolution,0.4666666666666667,5049,1,0.09242754340793556
HELLASWAG,Thompson,0.5,5033,26,0.09934432743890324
BOOLQ,APE,0.7333333333333333,42150,1,0.017398181099248716
BOOLQ,Evolution,0.5333333333333333,5142,1,0.1037209905354596
BOOLQ,Thompson,0.9999285816311956,5155,22,0.19397256675677899
GSM8K,APE,0.25,16339,1,0.015300814003304975
GSM8K,Evolution,0.2,2658,1,0.07524454477050414
GSM8K,Thompson,0.2500312460942382,5060,30,0.04941328974194431
